,Country,Gender,Activity,Currency,Year,Amount
751,Argentina,Female,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2021,549.16
754,Argentina,Female,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2021,379.21
757,Argentina,Female,Otras actividades de servicios,Divisa: Dólar estadounidense,2021,327.06
760,Argentina,Female,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2021,159.12
763,Argentina,Female,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2021,639.66
772,Argentina,Total,Agricultura,Divisa: Dólar estadounidense,2020,553.98
775,Argentina,Total,Manufacturas,Divisa: Dólar estadounidense,2020,558.64
778,Argentina,Total,Construcción,Divisa: Dólar estadounidense,2020,349.37
781,Argentina,Total,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2020,726.88
784,Argentina,Total,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2020,548.78
787,Argentina,Total,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2020,496.31
796,Argentina,Male,Agricultura,Divisa: Dólar estadounidense,2020,570.0
799,Argentina,Male,Manufacturas,Divisa: Dólar estadounidense,2020,582.93
802,Argentina,Male,Construcción,Divisa: Dólar estadounidense,2020,342.18
805,Argentina,Male,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2020,718.47
808,Argentina,Male,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2020,587.93
811,Argentina,Male,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2020,628.35
821,Argentina,Female,Manufacturas,Divisa: Dólar estadounidense,2020,471.94
824,Argentina,Female,Construcción,Divisa: Dólar estadounidense,2020,494.68
827,Argentina,Female,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2020,767.55
830,Argentina,Female,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2020,473.6
833,Argentina,Female,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2020,430.96
842,Argentina,Total,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2020,553.98
845,Argentina,Total,Explotación de minas y canteras,Divisa: Dólar estadounidense,2020,466.95
848,Argentina,Total,Industrias manufactureras,Divisa: Dólar estadounidense,2020,558.64
851,Argentina,Total,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2020,866.34
854,Argentina,Total,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2020,694.4
857,Argentina,Total,Construcción,Divisa: Dólar estadounidense,2020,349.37
860,Argentina,Total,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2020,432.64
863,Argentina,Total,Transporte y almacenamiento,Divisa: Dólar estadounidense,2020,656.09
866,Argentina,Total,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2020,348.95
869,Argentina,Total,Información y comunicaciones,Divisa: Dólar estadounidense,2020,859.2
872,Argentina,Total,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2020,922.93
875,Argentina,Total,Actividades inmobiliarias,Divisa: Dólar estadounidense,2020,517.43
878,Argentina,Total,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2020,651.07
881,Argentina,Total,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2020,426.33
884,Argentina,Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2020,658.93
887,Argentina,Total,Enseñanza,Divisa: Dólar estadounidense,2020,523.94
890,Argentina,Total,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2020,568.88
893,Argentina,Total,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2020,517.91
896,Argentina,Total,Otras actividades de servicios,Divisa: Dólar estadounidense,2020,451.78
899,Argentina,Total,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2020,155.8
902,Argentina,Total,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2020,674.68
911,Argentina,Male,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2020,570.0
915,Argentina,Male,Industrias manufactureras,Divisa: Dólar estadounidense,2020,582.93
918,Argentina,Male,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2020,850.11
921,Argentina,Male,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2020,678.04
924,Argentina,Male,Construcción,Divisa: Dólar estadounidense,2020,342.18
927,Argentina,Male,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2020,464.19
930,Argentina,Male,Transporte y almacenamiento,Divisa: Dólar estadounidense,2020,654.35
933,Argentina,Male,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2020,404.33
936,Argentina,Male,Información y comunicaciones,Divisa: Dólar estadounidense,2020,870.47
939,Argentina,Male,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2020,1038.0
942,Argentina,Male,Actividades inmobiliarias,Divisa: Dólar estadounidense,2020,525.91
945,Argentina,Male,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2020,728.13
948,Argentina,Male,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2020,459.27
951,Argentina,Male,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2020,671.47
954,Argentina,Male,Enseñanza,Divisa: Dólar estadounidense,2020,589.36
957,Argentina,Male,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2020,632.97
960,Argentina,Male,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2020,576.77
963,Argentina,Male,Otras actividades de servicios,Divisa: Dólar estadounidense,2020,509.08
966,Argentina,Male,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2020,199.88
969,Argentina,Male,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2020,711.45
979,Argentina,Female,Explotación de minas y canteras,Divisa: Dólar estadounidense,2020,523.29
982,Argentina,Female,Industrias manufactureras,Divisa: Dólar estadounidense,2020,471.94
985,Argentina,Female,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2020,976.69
988,Argentina,Female,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2020,790.27
991,Argentina,Female,Construcción,Divisa: Dólar estadounidense,2020,494.68
994,Argentina,Female,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2020,375.07
997,Argentina,Female,Transporte y almacenamiento,Divisa: Dólar estadounidense,2020,673.99
1000,Argentina,Female,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2020,269.79
1003,Argentina,Female,Información y comunicaciones,Divisa: Dólar estadounidense,2020,818.98
1006,Argentina,Female,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2020,802.22
1009,Argentina,Female,Actividades inmobiliarias,Divisa: Dólar estadounidense,2020,505.43
1012,Argentina,Female,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2020,582.12
1015,Argentina,Female,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2020,377.55
1018,Argentina,Female,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2020,643.72
1021,Argentina,Female,Enseñanza,Divisa: Dólar estadounidense,2020,501.33
1024,Argentina,Female,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2020,542.29
1027,Argentina,Female,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2020,418.42
1030,Argentina,Female,Otras actividades de servicios,Divisa: Dólar estadounidense,2020,379.4
1033,Argentina,Female,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2020,154.84
1036,Argentina,Female,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2020,593.27
1045,Argentina,Total,Agricultura,Divisa: Dólar estadounidense,2019,902.22
1048,Argentina,Total,Manufacturas,Divisa: Dólar estadounidense,2019,569.92
1051,Argentina,Total,Construcción,Divisa: Dólar estadounidense,2019,392.86
1054,Argentina,Total,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2019,816.74
1057,Argentina,Total,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2019,563.81
1060,Argentina,Total,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2019,509.09
1069,Argentina,Male,Agricultura,Divisa: Dólar estadounidense,2019,968.26
1072,Argentina,Male,Manufacturas,Divisa: Dólar estadounidense,2019,595.27
1075,Argentina,Male,Construcción,Divisa: Dólar estadounidense,2019,378.76
1078,Argentina,Male,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2019,820.96
1081,Argentina,Male,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2019,603.82
1084,Argentina,Male,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2019,668.25
1093,Argentina,Female,Agricultura,Divisa: Dólar estadounidense,2019,563.49
1096,Argentina,Female,Manufacturas,Divisa: Dólar estadounidense,2019,485.83
1099,Argentina,Female,Construcción,Divisa: Dólar estadounidense,2019,649.82
1102,Argentina,Female,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2019,802.18
1105,Argentina,Female,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2019,490.4
1108,Argentina,Female,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2019,430.68
1117,Argentina,Total,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2019,902.22
1120,Argentina,Total,Explotación de minas y canteras,Divisa: Dólar estadounidense,2019,654.86
1123,Argentina,Total,Industrias manufactureras,Divisa: Dólar estadounidense,2019,569.92
1126,Argentina,Total,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2019,953.39
1129,Argentina,Total,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2019,720.11
1132,Argentina,Total,Construcción,Divisa: Dólar estadounidense,2019,392.86
1135,Argentina,Total,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2019,479.51
1138,Argentina,Total,Transporte y almacenamiento,Divisa: Dólar estadounidense,2019,624.09
1141,Argentina,Total,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2019,368.54
1144,Argentina,Total,Información y comunicaciones,Divisa: Dólar estadounidense,2019,957.27
1147,Argentina,Total,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2019,892.4
1150,Argentina,Total,Actividades inmobiliarias,Divisa: Dólar estadounidense,2019,450.92
1153,Argentina,Total,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2019,684.4
1156,Argentina,Total,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2019,468.58
1159,Argentina,Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2019,702.38
1162,Argentina,Total,Enseñanza,Divisa: Dólar estadounidense,2019,541.62
1165,Argentina,Total,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2019,622.81
1168,Argentina,Total,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2019,529.89
1171,Argentina,Total,Otras actividades de servicios,Divisa: Dólar estadounidense,2019,520.93
1174,Argentina,Total,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2019,166.97
1177,Argentina,Total,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2019,653.23
1186,Argentina,Male,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2019,968.26
1189,Argentina,Male,Explotación de minas y canteras,Divisa: Dólar estadounidense,2019,700.94
1192,Argentina,Male,Industrias manufactureras,Divisa: Dólar estadounidense,2019,595.27
1195,Argentina,Male,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2019,950.05
1198,Argentina,Male,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2019,723.34
1201,Argentina,Male,Construcción,Divisa: Dólar estadounidense,2019,378.76
1204,Argentina,Male,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2019,516.15
1207,Argentina,Male,Transporte y almacenamiento,Divisa: Dólar estadounidense,2019,628.75
1210,Argentina,Male,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2019,401.55
1213,Argentina,Male,Información y comunicaciones,Divisa: Dólar estadounidense,2019,984.25
1216,Argentina,Male,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2019,991.07
1219,Argentina,Male,Actividades inmobiliarias,Divisa: Dólar estadounidense,2019,515.16
1222,Argentina,Male,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2019,755.04
1225,Argentina,Male,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2019,509.13
1228,Argentina,Male,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2019,725.79
1231,Argentina,Male,Enseñanza,Divisa: Dólar estadounidense,2019,589.62
1234,Argentina,Male,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2019,709.87
1237,Argentina,Male,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2019,618.81
1240,Argentina,Male,Otras actividades de servicios,Divisa: Dólar estadounidense,2019,588.33
1243,Argentina,Male,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2019,190.52
1246,Argentina,Male,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2019,677.49
1255,Argentina,Female,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2019,563.49
1258,Argentina,Female,Explotación de minas y canteras,Divisa: Dólar estadounidense,2019,633.25
1261,Argentina,Female,Industrias manufactureras,Divisa: Dólar estadounidense,2019,485.83
1264,Argentina,Female,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2019,965.69
1267,Argentina,Female,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2019,706.92
1270,Argentina,Female,Construcción,Divisa: Dólar estadounidense,2019,649.82
1273,Argentina,Female,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2019,418.97
1276,Argentina,Female,Transporte y almacenamiento,Divisa: Dólar estadounidense,2019,576.72
1279,Argentina,Female,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2019,329.34
1282,Argentina,Female,Información y comunicaciones,Divisa: Dólar estadounidense,2019,877.65
1285,Argentina,Female,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2019,795.85
1288,Argentina,Female,Actividades inmobiliarias,Divisa: Dólar estadounidense,2019,360.32
1291,Argentina,Female,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2019,616.64
1294,Argentina,Female,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2019,394.26
1297,Argentina,Female,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Divisa: Dólar estadounidense,2019,672.92
1300,Argentina,Female,Enseñanza,Divisa: Dólar estadounidense,2019,525.54
1303,Argentina,Female,Actividades de atención de la salud humana y de asistencia social,Divisa: Dólar estadounidense,2019,580.86
1306,Argentina,Female,"Actividades artísticas, de entretenimiento y recreativas",Divisa: Dólar estadounidense,2019,385.57
1309,Argentina,Female,Otras actividades de servicios,Divisa: Dólar estadounidense,2019,435.29
1312,Argentina,Female,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio,Divisa: Dólar estadounidense,2019,166.42
1315,Argentina,Female,Actividades de organizaciones y órganos extraterritoriales,Divisa: Dólar estadounidense,2019,597.08
1324,Argentina,Total,Agricultura,Divisa: Dólar estadounidense,2018,902.82
1327,Argentina,Total,Manufacturas,Divisa: Dólar estadounidense,2018,713.36
1330,Argentina,Total,Construcción,Divisa: Dólar estadounidense,2018,520.26
1333,Argentina,Total,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2018,1070.19
1336,Argentina,Total,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2018,681.43
1339,Argentina,Total,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2018,634.2
1348,Argentina,Male,Agricultura,Divisa: Dólar estadounidense,2018,798.37
1351,Argentina,Male,Manufacturas,Divisa: Dólar estadounidense,2018,754.67
1354,Argentina,Male,Construcción,Divisa: Dólar estadounidense,2018,511.99
1357,Argentina,Male,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2018,1125.74
1360,Argentina,Male,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2018,734.08
1363,Argentina,Male,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2018,835.89
1372,Argentina,Female,Agricultura,Divisa: Dólar estadounidense,2018,1154.94
1375,Argentina,Female,Manufacturas,Divisa: Dólar estadounidense,2018,581.18
1378,Argentina,Female,Construcción,Divisa: Dólar estadounidense,2018,692.13
1381,Argentina,Female,"Explotación de minas y canteras; Suministro de electricidad, gas y agua",Divisa: Dólar estadounidense,2018,878.43
1384,Argentina,Female,"Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales",Divisa: Dólar estadounidense,2018,587.74
1387,Argentina,Female,Administración pública y servicios y actividades comunales y sociales,Divisa: Dólar estadounidense,2018,533.67
1396,Argentina,Total,Agricultura; ganadería; silvicultura y pesca,Divisa: Dólar estadounidense,2018,902.82
1399,Argentina,Total,Explotación de minas y canteras,Divisa: Dólar estadounidense,2018,709.73
1402,Argentina,Total,Industrias manufactureras,Divisa: Dólar estadounidense,2018,713.36
1405,Argentina,Total,"Suministro de electricidad, gas; vapor y aire acondicionado",Divisa: Dólar estadounidense,2018,1491.61
1408,Argentina,Total,"Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación",Divisa: Dólar estadounidense,2018,749.97
1411,Argentina,Total,Construcción,Divisa: Dólar estadounidense,2018,520.26
1414,Argentina,Total,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Divisa: Dólar estadounidense,2018,608.31
1417,Argentina,Total,Transporte y almacenamiento,Divisa: Dólar estadounidense,2018,777.74
1420,Argentina,Total,Actividades de alojamiento y de servicio de comidas,Divisa: Dólar estadounidense,2018,458.36
1423,Argentina,Total,Información y comunicaciones,Divisa: Dólar estadounidense,2018,1072.46
1426,Argentina,Total,Actividades financieras y de seguros,Divisa: Dólar estadounidense,2018,1089.56
1429,Argentina,Total,Actividades inmobiliarias,Divisa: Dólar estadounidense,2018,570.59
1432,Argentina,Total,"Actividades profesionales, científicas y técnicas",Divisa: Dólar estadounidense,2018,738.45
1435,Argentina,Total,Actividades de servicios administrativos y de apoyo,Divisa: Dólar estadounidense,2018,586.49
